Book Id,name,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,price,layout,cover,excerpt,book-link,tweet,categories,tags
18730696,The Soul of the World,Roger Scruton,"Scruton, Roger",,0691161577,9780691161570,0,4.02,Princeton University Press,Hardcover,205,2014,2014,,2/28/2017,altright,altright (#235),read,,,,0,,,0,,,,,,0,book,,,http://amzn.to/2le3LWc,The Soul of the World by Roger Scruton http://amzn.to/2le3LWc,altright,altright
41589,The Affluent Society,John Kenneth Galbraith,"Galbraith, John Kenneth",,0140285199,9780140285192,0,3.99,,Paperback,276,1999,1958,,2/28/2017,altright,altright (#234),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
5887138,The Narcissism Epidemic: Living in the Age of Entitlement,Jean M. Twenge,"Twenge, Jean M.",W. Keith Campbell,1416575987,9781416575986,0,3.66,Atria Books,Hardcover,352,2009,2009,,2/28/2017,altright,altright (#233),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
921689,And Time Rolls On: The Savitri Devi Interviews,Savitri Devi,"Devi, Savitri",,0974626430,9780974626437,0,4.57,,,,,2006,,2/28/2017,altright,altright (#232),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
921692,The Lightning And The Sun,Savitri Devi,"Devi, Savitri",,0937944149,9780937944141,0,4.15,,,,,2013,,2/28/2017,altright,altright (#231),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
2204536,Not Just for the Money: Economic Theory of Personal Motivation,Bruno S. Frey,"Frey, Bruno S.",,1858988454,9781858988450,0,3.25,Edward Elgar Publishing Ltd,Paperback,168,1998,1997,,2/28/2017,altright,altright (#230),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
355190,Orientalism,Edward Said,"Said, Edward",,039474067X,9780394740676,0,4.07,Vintage,Paperback,395,1979,1978,,2/28/2017,altright,altright (#229),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
5246948,The Lost Philosopher: The Best of Anthony M. Ludovici,Anthony Mario Ludovici,"Ludovici, Anthony Mario",John V. Day,0974626406,9780974626406,0,4.25,,,320,,2013,,2/28/2017,altright,altright (#228),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
18267685,I Do Not Belong to the Baader-Meinhof Group and Other Poems,Juleigh Howard-Hobson,"Howard-Hobson, Juleigh",,1935965565,9781935965565,0,3.8,Counter-Currents Publishing,Hardcover,114,2013,2013,,2/28/2017,altright,altright (#227),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
17160008,"Feral: Rewilding the Land, the Sea and Human Life",George Monbiot,"Monbiot, George",,0670067172,9780670067176,0,4.16,Allen Lane,Hardcover,256,2013,2013,,2/28/2017,altright,altright (#226),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
